Genome ID,Genome Name,Antibiotic,Resistant Phenotype,AMR_Label
72407.572,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864795,meropenem,Resistant,1
573.24455,Klebsiella pneumoniae strain MUGSI_98,meropenem,Resistant,1
573.14181,Klebsiella pneumoniae KPN471ec,meropenem,Resistant,1
573.67259,Klebsiella pneumoniae ERR7221251,meropenem,Resistant,1
573.14163,Klebsiella pneumoniae KPN447ec,meropenem,Resistant,1
573.1301,Klebsiella pneumoniae 3224,meropenem,Resistant,1
573.13919,Klebsiella pneumoniae KPN2099ec,meropenem,Resistant,1
573.13692,Klebsiella pneumoniae KPN1827ec,meropenem,Resistant,1
573.2006,Klebsiella pneumoniae strain AR_0135,meropenem,Resistant,1
72407.569,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864793,meropenem,Resistant,1
573.14217,Klebsiella pneumoniae KPN533ec,meropenem,Resistant,1
573.24401,Klebsiella pneumoniae strain MUGSI_32,meropenem,Resistant,1
573.66166,Klebsiella pneumoniae ERR2118036,meropenem,Resistant,1
573.13156,Klebsiella pneumoniae KPN1160ec,meropenem,Resistant,1
573.66115,Klebsiella pneumoniae ERR1815068,meropenem,Resistant,1
573.14251,Klebsiella pneumoniae KPN577ec,meropenem,Resistant,1
72407.491,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864749,meropenem,Resistant,1
573.14264,Klebsiella pneumoniae KPN592ec,meropenem,Resistant,1
573.14076,Klebsiella pneumoniae KPN348ec,meropenem,Resistant,1
573.67287,Klebsiella pneumoniae ERR7221292,meropenem,Resistant,1
573.67243,Klebsiella pneumoniae ERR7221232,meropenem,Resistant,1
573.24444,Klebsiella pneumoniae strain MUGSI_85,meropenem,Resistant,1
1438713.3,Klebsiella pneumoniae CHS 07,meropenem,Resistant,1
573.46837,Klebsiella pneumoniae KP-135LU,meropenem,Resistant,1
573.14433,Klebsiella pneumoniae KPN838ec,meropenem,Resistant,1
573.13646,Klebsiella pneumoniae KPN1749ec,meropenem,Resistant,1
573.13096,Klebsiella pneumoniae KPN1090ec,meropenem,Resistant,1
573.14434,Klebsiella pneumoniae KPN839ec,meropenem,Resistant,1
573.13202,Klebsiella pneumoniae KPN1211ec,meropenem,Resistant,1
573.14136,Klebsiella pneumoniae KPN416ec,meropenem,Resistant,1
573.13908,Klebsiella pneumoniae KPN2085ec,meropenem,Resistant,1
573.46877,Klebsiella pneumoniae KP-9PI,meropenem,Resistant,1
573.67234,Klebsiella pneumoniae ERR7221228,meropenem,Resistant,1
573.24418,Klebsiella pneumoniae strain MUGSI_51,meropenem,Resistant,1
573.67252,Klebsiella pneumoniae ERR7221240,meropenem,Resistant,1
573.46859,Klebsiella pneumoniae KP-28P,meropenem,Resistant,1
573.24427,Klebsiella pneumoniae strain MUGSI_65,meropenem,Resistant,1
573.13741,Klebsiella pneumoniae KPN1878ec,meropenem,Resistant,1
573.29957,Klebsiella pneumoniae strain Kpngiani7132490,meropenem,Resistant,1
573.67236,Klebsiella pneumoniae ERR7221222,meropenem,Resistant,1
573.67202,Klebsiella pneumoniae ERR7221180,meropenem,Resistant,1
573.46858,Klebsiella pneumoniae KP-2LU,meropenem,Resistant,1
573.67246,Klebsiella pneumoniae ERR7221226,meropenem,Resistant,1
573.24437,Klebsiella pneumoniae strain MUGSI_78,meropenem,Resistant,1
1438760.3,Klebsiella pneumoniae CHS 54,meropenem,Resistant,1
573.13951,Klebsiella pneumoniae KPN2159ec,meropenem,Resistant,1
573.13224,Klebsiella pneumoniae KPN1243ec,meropenem,Resistant,1
573.6733,Klebsiella pneumoniae ERR7221342,meropenem,Resistant,1
573.29871,Klebsiella pneumoniae strain Kpngiani7132572,meropenem,Resistant,1
1438755.3,Klebsiella pneumoniae CHS 49,meropenem,Resistant,1
573.29958,Klebsiella pneumoniae strain Kpngiani7132624,meropenem,Resistant,1
573.29942,Klebsiella pneumoniae strain Kpngiani7132479,meropenem,Resistant,1
573.13707,Klebsiella pneumoniae KPN1844ec,meropenem,Resistant,1
573.12959,Klebsiella pneumoniae 3283,meropenem,Resistant,1
573.13075,Klebsiella pneumoniae KPN1057ec,meropenem,Resistant,1
573.29866,Klebsiella pneumoniae strain Kpngiani7132568,meropenem,Resistant,1
573.14469,Klebsiella pneumoniae KPN890ec,meropenem,Resistant,1
72407.521,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864855,meropenem,Resistant,1
573.29993,Klebsiella pneumoniae strain Kpngiani7132554,meropenem,Resistant,1
573.13478,Klebsiella pneumoniae KPN1549ec,meropenem,Resistant,1
573.24288,Klebsiella pneumoniae strain 350,meropenem,Resistant,1
