Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.13209","Klebsiella pneumoniae KPN1219ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14343","Klebsiella pneumoniae KPN717ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13147","Klebsiella pneumoniae KPN1149ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12960","Klebsiella pneumoniae 123","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.15624","Klebsiella pneumoniae strain INF255","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
573,"573.24295","Klebsiella pneumoniae strain 396","meropenem","Susceptible","0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
573,"573.5712","Klebsiella pneumoniae strain W2-11-ERG2","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28118859"
573,"573.15512","Klebsiella pneumoniae strain INF109","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
573,"573.13120","Klebsiella pneumoniae KPN1118ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12962","Klebsiella pneumoniae 28","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13442","Klebsiella pneumoniae KPN1508ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.15372","Klebsiella pneumoniae strain INF059","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
573,"573.14146","Klebsiella pneumoniae KPN426ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14328","Klebsiella pneumoniae KPN700ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
72407,"72407.570","Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864792","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",2010,,,,"Laboratory Method",,"30787414"
573,"573.14039","Klebsiella pneumoniae KPN304ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13333","Klebsiella pneumoniae KPN1383ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13284","Klebsiella pneumoniae KPN1323ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13466","Klebsiella pneumoniae KPN1535ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.15523","Klebsiella pneumoniae strain INF092","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
573,"573.15548","Klebsiella pneumoniae strain KSB1_4D","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
573,"573.14345","Klebsiella pneumoniae KPN719ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12968","Klebsiella pneumoniae 114","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.46115","Klebsiella pneumoniae INF332","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
573,"573.67191","Klebsiella pneumoniae ERR7221162","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.26312","Klebsiella pneumoniae strain 5012STDY7626433","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.14100","Klebsiella pneumoniae KPN377ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14395","Klebsiella pneumoniae KPN783ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26192","Klebsiella pneumoniae strain 5012STDY7312625","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.26184","Klebsiella pneumoniae strain 5012STDY7312617","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.33401","Klebsiella pneumoniae strain PMK20a","meropenem","Susceptible",,,,,"Broth dilution",,,"BD","EUCAST",,,,,"Laboratory Method",,"25267672"
573,"573.13987","Klebsiella pneumoniae KPN246ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12961","Klebsiella pneumoniae 10","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13055","Klebsiella pneumoniae KPN1032ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13761","Klebsiella pneumoniae KPN1902ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.66137","Klebsiella pneumoniae ERR1840992","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13008","Klebsiella pneumoniae 3302","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.12970","Klebsiella pneumoniae 3236","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13060","Klebsiella pneumoniae KPN1038ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14265","Klebsiella pneumoniae KPN593ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.46108","Klebsiella pneumoniae KSB1_8I","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
573,"573.26074","Klebsiella pneumoniae strain 5012STDY7312720","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.33421","Klebsiella pneumoniae strain PMK7","meropenem","Susceptible",,,,,"Broth dilution",,,"BD","EUCAST",,,,,"Laboratory Method",,"25267672"
573,"573.13791","Klebsiella pneumoniae KPN1941ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14386","Klebsiella pneumoniae KPN772ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14396","Klebsiella pneumoniae KPN785ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67262","Klebsiella pneumoniae ERR7221253","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
